quarter,dong_code,dong_name,avg_oper_period,avg_oper_period_90,industry_code,industry_name
20193,11440555,아현동,3.0833333333333335,4.583333333333333,CS100001,한식
20192,11440555,아현동,3.066666666666667,4.566666666666666,CS100001,한식
20191,11440555,아현동,3.1166666666666667,4.583333333333333,CS100001,한식
20193,11440565,공덕동,3.2583333333333333,4.575,CS100001,한식
20192,11440565,공덕동,3.2,4.566666666666666,CS100001,한식
20191,11440565,공덕동,3.175,4.566666666666666,CS100001,한식
20193,11440585,도화동,2.8583333333333334,4.491666666666666,CS100001,한식
20192,11440585,도화동,2.9,4.5,CS100001,한식
20191,11440585,도화동,2.8833333333333333,4.475,CS100001,한식
20193,11440590,용강동,2.933333333333333,4.541666666666667,CS100001,한식
20192,11440590,용강동,2.95,4.541666666666667,CS100001,한식
20191,11440590,용강동,2.975,4.541666666666667,CS100001,한식
20193,11440600,대흥동,3.0083333333333333,4.483333333333333,CS100001,한식
20192,11440600,대흥동,3.025,4.483333333333333,CS100001,한식
20191,11440600,대흥동,2.966666666666667,4.491666666666666,CS100001,한식
20193,11440610,염리동,2.816666666666667,4.133333333333334,CS100001,한식
20192,11440610,염리동,2.7666666666666666,4.133333333333334,CS100001,한식
20191,11440610,염리동,2.816666666666667,4.133333333333334,CS100001,한식
20193,11440630,신수동,3.091666666666667,4.35,CS100001,한식
20192,11440630,신수동,3.0166666666666666,4.366666666666666,CS100001,한식
20191,11440630,신수동,2.875,4.383333333333334,CS100001,한식
20193,11440655,서강동,2.7666666666666666,3.95,CS100001,한식
20192,11440655,서강동,2.7416666666666667,3.941666666666667,CS100001,한식
20191,11440655,서강동,2.7583333333333333,3.941666666666667,CS100001,한식
20193,11440660,서교동,2.725,3.9833333333333334,CS100001,한식
20192,11440660,서교동,2.7,3.975,CS100001,한식
20191,11440660,서교동,2.6666666666666665,3.966666666666667,CS100001,한식
20193,11440680,합정동,2.85,4.041666666666667,CS100001,한식
20192,11440680,합정동,2.7916666666666665,4.025,CS100001,한식
20191,11440680,합정동,2.7916666666666665,4.033333333333333,CS100001,한식
20193,11440690,망원1동,2.65,3.925,CS100001,한식
20192,11440690,망원1동,2.625,3.9,CS100001,한식
20191,11440690,망원1동,2.5833333333333335,3.908333333333333,CS100001,한식
20193,11440700,망원2동,2.5083333333333333,3.816666666666667,CS100001,한식
20192,11440700,망원2동,2.4916666666666667,3.825,CS100001,한식
20191,11440700,망원2동,2.5416666666666665,3.825,CS100001,한식
20193,11440710,연남동,2.6083333333333334,3.7583333333333333,CS100001,한식
20192,11440710,연남동,2.6166666666666667,3.7416666666666667,CS100001,한식
20191,11440710,연남동,2.6,3.7333333333333334,CS100001,한식
20193,11440720,성산1동,3.025,4.316666666666666,CS100001,한식
20192,11440720,성산1동,3.033333333333333,4.3,CS100001,한식
20191,11440720,성산1동,2.9583333333333335,4.266666666666667,CS100001,한식
20193,11440730,성산2동,2.875,4.633333333333334,CS100001,한식
20192,11440730,성산2동,2.9166666666666665,4.641666666666667,CS100001,한식
20191,11440730,성산2동,2.925,4.625,CS100001,한식
20193,11440740,상암동,2.875,3.9,CS100001,한식
20192,11440740,상암동,2.8583333333333334,3.875,CS100001,한식
20191,11440740,상암동,2.841666666666667,3.85,CS100001,한식
20193,11440555,아현동,4.65,5.075,CS100002,중식
20192,11440555,아현동,3.675,4.991666666666666,CS100002,중식
20191,11440555,아현동,3.6083333333333334,4.925,CS100002,중식
20193,11440565,공덕동,3.225,5.0,CS100002,중식
20192,11440565,공덕동,3.058333333333333,4.983333333333333,CS100002,중식
20191,11440565,공덕동,2.925,5.0,CS100002,중식
20193,11440585,도화동,2.675,3.85,CS100002,중식
20192,11440585,도화동,2.691666666666667,3.808333333333333,CS100002,중식
20191,11440585,도화동,2.55,3.7416666666666667,CS100002,중식
20193,11440590,용강동,2.725,4.833333333333333,CS100002,중식
20192,11440590,용강동,2.7583333333333333,4.866666666666666,CS100002,중식
20191,11440590,용강동,2.7916666666666665,4.9,CS100002,중식
20193,11440600,대흥동,3.275,4.016666666666667,CS100002,중식
20192,11440600,대흥동,2.625,4.025,CS100002,중식
20191,11440600,대흥동,2.75,4.058333333333334,CS100002,중식
20193,11440610,염리동,2.8583333333333334,3.9,CS100002,중식
20192,11440610,염리동,2.8333333333333335,3.9,CS100002,중식
20191,11440610,염리동,2.808333333333333,3.825,CS100002,중식
20193,11440630,신수동,3.966666666666667,5.566666666666666,CS100002,중식
20192,11440630,신수동,3.3833333333333333,5.466666666666667,CS100002,중식
20191,11440630,신수동,3.441666666666667,5.525,CS100002,중식
20193,11440655,서강동,2.775,3.95,CS100002,중식
20192,11440655,서강동,2.7,3.8666666666666667,CS100002,중식
20191,11440655,서강동,2.716666666666667,3.8333333333333335,CS100002,중식
20193,11440660,서교동,2.691666666666667,3.7666666666666666,CS100002,중식
20192,11440660,서교동,2.6,3.716666666666667,CS100002,중식
20191,11440660,서교동,2.4833333333333334,3.591666666666667,CS100002,중식
20193,11440680,합정동,3.475,5.25,CS100002,중식
20192,11440680,합정동,3.3916666666666666,5.133333333333334,CS100002,중식
20191,11440680,합정동,3.575,5.175,CS100002,중식
20193,11440690,망원1동,2.875,4.208333333333333,CS100002,중식
20192,11440690,망원1동,2.825,4.108333333333333,CS100002,중식
20191,11440690,망원1동,2.9166666666666665,4.158333333333333,CS100002,중식
20193,11440700,망원2동,3.683333333333333,4.916666666666667,CS100002,중식
20192,11440700,망원2동,3.2083333333333335,4.816666666666666,CS100002,중식
20191,11440700,망원2동,2.9916666666666667,4.575,CS100002,중식
20193,11440710,연남동,3.5416666666666665,4.358333333333333,CS100002,중식
20192,11440710,연남동,3.475,4.3,CS100002,중식
20191,11440710,연남동,3.191666666666667,4.233333333333333,CS100002,중식
20193,11440720,성산1동,4.941666666666666,5.0,CS100002,중식
20192,11440720,성산1동,4.675,4.916666666666667,CS100002,중식
20191,11440720,성산1동,4.7,4.925,CS100002,중식
20193,11440730,성산2동,3.841666666666667,6.208333333333333,CS100002,중식
20192,11440730,성산2동,3.875,6.225,CS100002,중식
20191,11440730,성산2동,3.9,6.25,CS100002,중식
20193,11440740,상암동,3.1,3.775,CS100002,중식
20192,11440740,상암동,3.058333333333333,3.7083333333333335,CS100002,중식
20191,11440740,상암동,3.0166666666666666,3.6666666666666665,CS100002,중식
20193,11440555,아현동,4.675,4.008333333333334,CS100003,일식
20192,11440555,아현동,4.5,3.95,CS100003,일식
20191,11440555,아현동,4.558333333333334,3.975,CS100003,일식
20193,11440565,공덕동,3.925,4.833333333333333,CS100003,일식
20192,11440565,공덕동,3.85,4.808333333333334,CS100003,일식
20191,11440565,공덕동,3.9833333333333334,4.833333333333333,CS100003,일식
20193,11440585,도화동,2.941666666666667,3.933333333333333,CS100003,일식
20192,11440585,도화동,2.9916666666666667,3.9583333333333335,CS100003,일식
20191,11440585,도화동,2.9583333333333335,3.933333333333333,CS100003,일식
20193,11440590,용강동,3.9,4.725,CS100003,일식
20192,11440590,용강동,3.7666666666666666,4.691666666666666,CS100003,일식
20191,11440590,용강동,3.6333333333333333,4.591666666666667,CS100003,일식
20193,11440600,대흥동,2.8,3.025,CS100003,일식
20192,11440600,대흥동,2.908333333333333,3.0083333333333333,CS100003,일식
20191,11440600,대흥동,3.058333333333333,3.0416666666666665,CS100003,일식
20193,11440610,염리동,2.725,3.8,CS100003,일식
20192,11440610,염리동,2.6,3.7083333333333335,CS100003,일식
20191,11440610,염리동,2.25,3.6333333333333333,CS100003,일식
20193,11440630,신수동,3.425,4.966666666666667,CS100003,일식
