year,quarter,dong_code,dong_name,gubun,rent_1f,rent_other,rent_total,quarter_code
2019,1,11110515,청운효자동,dong,150242.0,67488.0,108865.0,20191
2019,1,11110530,사직동,dong,148092.0,126437.0,137264.0,20191
2019,1,11110540,삼청동,dong,242647.0,111991.0,177319.0,20191
2019,1,11110550,부암동,dong,98860.0,56298.0,77579.0,20191
2019,1,11110560,평창동,dong,101445.0,72114.0,86780.0,20191
2019,1,11110570,무악동,dong,,,,20191
2019,1,11110580,교남동,dong,178599.0,,178599.0,20191
2019,1,11110600,가회동,dong,142965.0,83348.0,113156.0,20191
2019,1,11110615,종로1·2·3·4가동,dong,264091.0,113695.0,188893.0,20191
2019,1,11110630,종로5·6가동,dong,251976.0,263131.0,257554.0,20191
2019,1,11110640,이화동,dong,175324.0,98493.0,136908.0,20191
2019,1,11110650,혜화동,dong,176794.0,89146.0,132970.0,20191
2019,1,11110670,창신1동,dong,203788.0,108428.0,156108.0,20191
2019,1,11110680,창신2동,dong,84579.0,38587.0,61583.0,20191
2019,1,11110690,창신3동,dong,72024.0,118608.0,95316.0,20191
2019,1,11110700,숭인1동,dong,177290.0,57748.0,117519.0,20191
2019,1,11110710,숭인2동,dong,158712.0,65512.0,112112.0,20191
2019,1,11140520,소공동,dong,166086.0,110365.0,138226.0,20191
2019,1,11140540,회현동,dong,364920.0,271724.0,318322.0,20191
2019,1,11140550,명동,dong,232003.0,136247.0,184125.0,20191
2019,1,11140570,필동,dong,127868.0,58585.0,93226.0,20191
2019,1,11140580,장충동,dong,81006.0,94710.0,87858.0,20191
2019,1,11140590,광희동,dong,184355.0,168611.0,176483.0,20191
2019,1,11140605,을지로동,dong,195638.0,75312.0,135475.0,20191
2019,1,11140615,신당동,dong,327885.0,416697.0,372291.0,20191
2019,1,11140625,다산동,dong,123682.0,62146.0,92914.0,20191
2019,1,11140635,약수동,dong,152945.0,76707.0,114826.0,20191
2019,1,11140645,청구동,dong,119407.0,65617.0,92512.0,20191
2019,1,11140650,신당5동,dong,133818.0,87379.0,110599.0,20191
2019,1,11140665,동화동,dong,125717.0,61105.0,93411.0,20191
2019,1,11140670,황학동,dong,151890.0,86819.0,119355.0,20191
2019,1,11140680,중림동,dong,156831.0,90433.0,123632.0,20191
2019,1,11170510,후암동,dong,116362.0,54972.0,85667.0,20191
2019,1,11170520,용산2가동,dong,80608.0,63090.0,71849.0,20191
2019,1,11170530,남영동,dong,108761.0,70575.0,89668.0,20191
2019,1,11170555,청파동,dong,105419.0,63367.0,84393.0,20191
2019,1,11170560,원효로1동,dong,112378.0,57400.0,84889.0,20191
2019,1,11170570,원효로2동,dong,93430.0,77258.0,85344.0,20191
2019,1,11170580,효창동,dong,115778.0,67933.0,91856.0,20191
2019,1,11170590,용문동,dong,122467.0,,122467.0,20191
2019,1,11170625,한강로동,dong,139327.0,102994.0,121160.0,20191
2019,1,11170630,이촌1동,dong,242905.0,230839.0,236872.0,20191
2019,1,11170640,이촌2동,dong,97564.0,98311.0,97937.0,20191
