station_id,station_name,sigungu_code,dong_code,lat,lon,opened_at
1001,1001. 광진교 남단 사거리(천호공원 방면),,,,,
1002,1002. 해공공원(천호동),,,,,
1003,1003. 해공도서관앞,,,,,
1004,1004. 삼성광나루아파트 버스정류장,,,,,
1006,1006. 롯데캐슬 115동앞,,,,,
1007,1007.암사동 선사유적지,,,,,
1008,1008. 암사역 3번출구(국민은행앞),,,,,
1009,1009. 천호역4번출구(현대백화점),,,,,
1010,1010. 강동세무서,,,,,
1011,1011. LIGA 아파트 앞,,,,,
1012,1012. 천호역효성해링턴타워 앞,,,,,
1013,1013. 강동구청역 1번 출입구,,,,,
1015,1015. 샛마을 근린공원,,,,,
1016,1016. 해뜨는 주유소옆 리엔파크 109동앞,,,,,
1017,1017. 둔촌고교입구 교차로(길동주민센터 방면),,,,,
1018,1018. 둔촌 주공 GS 맞은편,,,,,
1019,1019. 다성이즈빌아파트(호원대 대각선 맞은편),,,,,
102,102. 망원역 1번출구 앞,,,,,
1020,1020. 강동경찰서,,,,,
1021,1021. 강일동 리슈빌 빌딩앞,,,,,
1022,1022. 길동 사거리(초소앞),,,,,
1023,1023. 한국종합기술사옥 앞,,,,,
1024,1024.  강동구청 앞,,,,,
1025,1025. 상일초등학교,,,,,
1027,1027. 프라자 아파트 앞,,,,,
1028,1028. 포레스 주상복합 빌딩,,,,,
1029,1029. 성내어울터,,,,,
103,103. 망원역 2번출구 앞,,,,,
1030,1030. 미호 플랜트 앞,,,,,
1031,1031. 올림픽로 836(아리수로),,,,,
1032,1032. 선사고등학교,,,,,
1033,1033. 고덕동 아남아파트,,,,,
1034,1034. 고덕동 래미안 힐스테이트,,,,,
1036,1036. 고덕동 주양쇼핑,,,,,
1037,1037. 강일리버파크 6단지,,,,,
1038,1038. 강일 다솜 어린이 공원,,,,,
1039,1039. 고덕초등학교,,,,,
104,104. 합정역 1번출구 앞,,,,,
1041,1041. 묘곡초등학교,,,,,
1042,1042. 강일리버파크 2~5단지,,,,,
1044,1044. 굽은다리역,,,,,
1048,1048. 둔촌어린이공원,,,,,
1049,1049. 강일리버파크 10단지,,,,,
105,105. 합정역 5번출구 앞,,,,,
1050,1050.  둔촌역 3번 출입구,,,,,
1051,"1051. 강일중,선사고 버스정류장(신암중학교 방면)",,,,,
1053,1053. 동명근린공원 진입로 (아리수로),,,,,
1054,1054. 말우물 어린이 공원,,,,,
1056,1056. 강일리버파크 7~11단지,,,,,
1057,1057. 능골근린공원,,,,,
1058,1058. 고덕숲 아이파크 1,,,,,
1059,1059. 래미안 강동팰리스(102동),,,,,
106,106. 합정역 7번출구 앞,,,,,
1060,1060. 천일초교 사거리,,,,,
1061,1061. 천호초교 입구 사거리(일주빌딩),,,,,
1063,1063.강동롯데캐슬퍼스트 아파트(관리동),,,,,
1064,1064.중앙보훈병원역 1번출구,,,,,
1065,1065.보훈병원 후문옆(더 원커피),,,,,
1066,1066.생태공원앞 교차로(조명탑),,,,,
1067,1067.한영중고앞사거리,,,,,
1068,1068.명일파출소,,,,,
107,107. 수협 연남동지점,,,,,
1070,1070.(시립)고덕평생학습관,,,,,
1072,1072.고덕역 5번출구,,,,,
1073,1073. SSTS 몰 앞,,,,,
1074,1074.대명초교입구 사거리,,,,,
1075,1075.천동초교 삼거리,,,,,
1076,1076. 천동초교입구사거리 버스정류장(십자성마을 방면),,,,,
1077,1077.강동역 1번출구 앞,,,,,
1078,1078.둔촌사거리,,,,,
1079,1079.강일동입구교차로,,,,,
108,108. 서교동 사거리,,,,,
1081,1081.트레빌빌딩,,,,,
1083,1083.광문고교사거리(아이파크),,,,,
1084,1084. 윤선생빌딩(JYP사옥),,,,,
1085,1085.래미안 솔베뉴(고덕로),,,,,
1086,1086.래미안 솔베뉴(구천면로),,,,,
1088,1088.풍납사거리(강동),,,,,
1089,1089.고덕 래미안힐스테이트(201동),,,,,
1090,1090.상일동역 2번출구 앞,,,,,
