date,station_id,rent_cnt,return_cnt
2025-11-01,00102,104,0
2025-11-01,00103,71,0
2025-11-01,00104,30,0
2025-11-01,00105,19,0
2025-11-01,00106,69,0
2025-11-01,00107,38,0
2025-11-01,00108,44,0
2025-11-01,00111,74,0
2025-11-01,00113,137,0
2025-11-01,00114,54,0
2025-11-01,00115,19,0
2025-11-01,00117,72,0
2025-11-01,00118,22,0
2025-11-01,00119,56,0
2025-11-01,00120,11,0
2025-11-01,00121,13,0
2025-11-01,00122,21,0
2025-11-01,00123,49,0
2025-11-01,00124,36,0
2025-11-01,00126,12,0
2025-11-01,00127,13,0
2025-11-01,00128,46,0
2025-11-01,00129,21,0
2025-11-01,00130,53,0
2025-11-01,00131,62,0
2025-11-01,00133,46,0
2025-11-01,00134,9,0
2025-11-01,00135,12,0
2025-11-01,00137,15,0
2025-11-01,00138,18,0
2025-11-01,00139,14,0
2025-11-01,00140,12,0
2025-11-01,00141,9,0
2025-11-01,00142,19,0
2025-11-01,00143,26,0
2025-11-01,00145,35,0
2025-11-01,00146,62,0
2025-11-01,00147,80,0
2025-11-01,00148,30,0
2025-11-01,00150,28,0
2025-11-01,00153,55,0
2025-11-01,00154,90,0
2025-11-01,00155,34,0
2025-11-01,00156,17,0
2025-11-01,00157,43,0
2025-11-01,00159,5,0
2025-11-01,00160,15,0
2025-11-01,00161,5,0
2025-11-01,00162,22,0
2025-11-01,00163,13,0
2025-11-01,00164,10,0
2025-11-01,00165,37,0
2025-11-01,00166,38,0
2025-11-01,00167,13,0
2025-11-01,00169,8,0
2025-11-01,00170,29,0
2025-11-01,00171,8,0
2025-11-01,00173,6,0
2025-11-01,00175,24,0
2025-11-01,00176,39,0
2025-11-01,00177,18,0
2025-11-01,00178,41,0
2025-11-01,00179,39,0
2025-11-01,00180,11,0
2025-11-01,00181,25,0
2025-11-01,00182,45,0
2025-11-01,00183,79,0
2025-11-01,00184,81,0
2025-11-01,00185,36,0
2025-11-01,00186,163,0
2025-11-01,00188,23,0
2025-11-01,00191,23,0
2025-11-01,00192,11,0
2025-11-01,00194,44,0
2025-11-01,00195,12,0
2025-11-01,00196,6,0
2025-11-01,00198,12,0
2025-11-01,00199,47,0
2025-11-01,00200,2,0
2025-11-01,00201,22,0
2025-11-01,00202,66,0
2025-11-01,00203,12,0
2025-11-01,00204,28,0
2025-11-01,00205,20,0
2025-11-01,00206,60,0
2025-11-01,00207,72,0
2025-11-01,00209,81,0
2025-11-01,00213,29,0
2025-11-01,00214,6,0
2025-11-01,00215,27,0
2025-11-01,00217,60,0
2025-11-01,00219,60,0
2025-11-01,00220,24,0
2025-11-01,00221,45,0
2025-11-01,00222,38,0
2025-11-01,00223,26,0
2025-11-01,00224,58,0
2025-11-01,00225,31,0
2025-11-01,00226,51,0
2025-11-01,00227,59,0
2025-11-01,00228,113,0
2025-11-01,00229,38,0
2025-11-01,00230,187,0
2025-11-01,00231,71,0
2025-11-01,00232,75,0
2025-11-01,00233,16,0
2025-11-01,00235,23,0
2025-11-01,00236,83,0
2025-11-01,00237,50,0
2025-11-01,00238,43,0
2025-11-01,00239,24,0
2025-11-01,00240,132,0
2025-11-01,00241,35,0
2025-11-01,00242,33,0
2025-11-01,00243,106,0
2025-11-01,00244,69,0
2025-11-01,00245,68,0
2025-11-01,00247,140,0
2025-11-01,00248,12,0
2025-11-01,00249,33,0
2025-11-01,00250,24,0
2025-11-01,00251,21,0
2025-11-01,00252,42,0
2025-11-01,00254,47,0
2025-11-01,00255,34,0
2025-11-01,00256,36,0
2025-11-01,00258,47,0
2025-11-01,00259,83,0
2025-11-01,00260,21,0
2025-11-01,00263,98,0
2025-11-01,00264,46,0
2025-11-01,00265,36,0
2025-11-01,00266,40,0
2025-11-01,00267,60,0
2025-11-01,00268,50,0
2025-11-01,00270,24,0
2025-11-01,00271,14,0
2025-11-01,00272,157,0
2025-11-01,00275,77,0
2025-11-01,00276,22,0
2025-11-01,00278,85,0
2025-11-01,00279,65,0
2025-11-01,00280,92,0
2025-11-01,00281,29,0
2025-11-01,00282,22,0
2025-11-01,00283,26,0
2025-11-01,00284,78,0
2025-11-01,00285,27,0
2025-11-01,00286,24,0
2025-11-01,00287,72,0
2025-11-01,00288,43,0
2025-11-01,00289,28,0
2025-11-01,00290,63,0
2025-11-01,00291,51,0
2025-11-01,00292,60,0
2025-11-01,00293,74,0
2025-11-01,00295,5,0
2025-11-01,00296,66,0
2025-11-01,00297,5,0
2025-11-01,00298,14,0
2025-11-01,00299,14,0
2025-11-01,00300,30,0
2025-11-01,00301,24,0
2025-11-01,00302,79,0
2025-11-01,00303,57,0
2025-11-01,00305,43,0
2025-11-01,00307,16,0
2025-11-01,00308,31,0
2025-11-01,00309,9,0
2025-11-01,00310,27,0
2025-11-01,00314,40,0
2025-11-01,00316,43,0
2025-11-01,00318,16,0
2025-11-01,00320,45,0
2025-11-01,00324,13,0
2025-11-01,00326,34,0
2025-11-01,00327,31,0
2025-11-01,00328,12,0
2025-11-01,00329,33,0
2025-11-01,00331,30,0
2025-11-01,00332,23,0
2025-11-01,00334,37,0
2025-11-01,00335,41,0
2025-11-01,00336,23,0
2025-11-01,00337,27,0
2025-11-01,00338,17,0
2025-11-01,00339,27,0
2025-11-01,00340,27,0
2025-11-01,00341,27,0
2025-11-01,00342,52,0
2025-11-01,00343,21,0
2025-11-01,00344,22,0
2025-11-01,00345,21,0
2025-11-01,00346,20,0
2025-11-01,00347,19,0
2025-11-01,00348,32,0
2025-11-01,00349,18,0
2025-11-01,00351,10,0
2025-11-01,00352,11,0
2025-11-01,00353,29,0
2025-11-01,00354,23,0
2025-11-01,00355,32,0
2025-11-01,00356,23,0
2025-11-01,00358,16,0
2025-11-01,00359,21,0
2025-11-01,00361,82,0
2025-11-01,00362,68,0
2025-11-01,00363,54,0
2025-11-01,00364,7,0
2025-11-01,00367,46,0
2025-11-01,00368,30,0
2025-11-01,00370,11,0
2025-11-01,00371,19,0
2025-11-01,00372,19,0
2025-11-01,00374,30,0
2025-11-01,00379,27,0
2025-11-01,00380,35,0
2025-11-01,00381,5,0
2025-11-01,00382,11,0
2025-11-01,00383,83,0
2025-11-01,00384,14,0
2025-11-01,00385,38,0
2025-11-01,00387,15,0
2025-11-01,00388,12,0
2025-11-01,00389,31,0
2025-11-01,00390,13,0
2025-11-01,00391,11,0
2025-11-01,00393,39,0
2025-11-01,00394,19,0
2025-11-01,00395,24,0
2025-11-01,00397,11,0
2025-11-01,00398,55,0
2025-11-01,00399,26,0
2025-11-01,00400,34,0
2025-11-01,00401,32,0
2025-11-01,00402,18,0
2025-11-01,00403,18,0
2025-11-01,00405,4,0
2025-11-01,00406,16,0
2025-11-01,00407,17,0
2025-11-01,00408,6,0
2025-11-01,00409,26,0
2025-11-01,00410,8,0
2025-11-01,00411,28,0
2025-11-01,00412,25,0
2025-11-01,00413,19,0
2025-11-01,00414,50,0
2025-11-01,00415,57,0
2025-11-01,00416,20,0
2025-11-01,00417,31,0
2025-11-01,00418,61,0
2025-11-01,00419,110,0
2025-11-01,00420,77,0
2025-11-01,00421,33,0
2025-11-01,00422,35,0
2025-11-01,00424,11,0
2025-11-01,00425,6,0
2025-11-01,00426,34,0
2025-11-01,00427,34,0
2025-11-01,00428,4,0
2025-11-01,00429,1,0
2025-11-01,00430,20,0
2025-11-01,00431,87,0
2025-11-01,00432,8,0
2025-11-01,00433,41,0
2025-11-01,00434,8,0
2025-11-01,00435,7,0
2025-11-01,00436,19,0
2025-11-01,00437,34,0
2025-11-01,00438,32,0
2025-11-01,00440,35,0
2025-11-01,00441,14,0
2025-11-01,00442,7,0
2025-11-01,00443,1,0
2025-11-01,00445,3,0
2025-11-01,00446,17,0
2025-11-01,00447,3,0
2025-11-01,00449,11,0
2025-11-01,00450,48,0
2025-11-01,00451,6,0
2025-11-01,00452,22,0
2025-11-01,00453,24,0
2025-11-01,00454,24,0
2025-11-01,00455,18,0
2025-11-01,00456,42,0
2025-11-01,00457,23,0
2025-11-01,00458,61,0
2025-11-01,00461,25,0
2025-11-01,00464,35,0
2025-11-01,00465,3,0
2025-11-01,00466,23,0
2025-11-01,00467,14,0
2025-11-01,00468,8,0
2025-11-01,00469,10,0
2025-11-01,00470,8,0
2025-11-01,00471,16,0
2025-11-01,00472,9,0
2025-11-01,00473,37,0
2025-11-01,00474,50,0
2025-11-01,00475,22,0
2025-11-01,00476,16,0
2025-11-01,00477,18,0
