id	raw_text	intent_text	bm25_query_text	expected_doc_ids	expected_category	needs_clarification	notes
tc_0001	건전지 어디에 있어요?	건전지	건전지 배터리 알카라인 AA AAA	건전지	전자/디지털	false	정확 상품명(배터리)
tc_0002	멀티탭 코너는 몇 번이에요?	멀티탭	멀티탭 콘센트 전원탭 전선 4구 6구	멀티탭	전자/디지털	false	정확 상품명
tc_0003	순간접착제는 어디로 가야 돼요?	순간접착제	순간접착제 접착제 강력 본드	순간접착제	문구/사무	false	동의어 포함
tc_0004	욕실 슬리퍼 찾는데 안 보여요.	욕실 슬리퍼	욕실 슬리퍼 욕실용품 실내화 미끄럼방지	욕실슬리퍼	욕실/청소	false	띄어쓰기 차이(doc_id는 붙여씀)
tc_0005	욕실매트 같은 거 있어요?	욕실 매트	욕실 매트 욕실용품 매트 흡수 미끄럼방지	욕실매트	욕실/청소	false	요가/필라테스 매트와 혼동 유발
tc_0006	요가할 때 쓰는 매트 어디있어요?	요가 매트	요가 매트 운동 매트 홈트	요가매트	스포츠/레저	false	욕실매트와 혼동 대비(반대 케이스)
tc_0007	필라테스 매트 있나요	필라테스 매트	필라테스 매트 스트레칭 운동	필라테스매트	스포츠/레저	false	욕실매트와 혼동 대비(반대 케이스)
tc_0008	충전선 C타입 있어요?	충전 케이블	충전 케이블 USB-C C타입 케이블 데이터	충전케이블	전자/디지털	false	축약/구어
tc_0009	변기 닦는 거 뭐가 좋아요?	변기 세정제	변기 세정제 변기 클리너 청소 세정	변기세정제	욕실/청소	false	목적/설명형
tc_0010	설거지할 때 쓰는 스펀지 있죠	수세미	수세미 스펀지 설거지 청소	수세미	욕실/청소	false	동의어(스펀지)
tc_0011	장갑 같은 거… 청소할 때 끼는 거	고무장갑	고무장갑 청소 장갑 설거지	고무장갑	욕실/청소	false	목적/설명형 + 말줄임
tc_0012	이어폰 3.5파이 있어요?	이어폰	이어폰 3.5mm 유선 마이크	이어폰	전자/디지털	false	스펙 키워드 포함
tc_0013	프라이팬 코팅된 거 있어요?	프라이팬	프라이팬 후라이팬 코팅 팬	프라이팬	주방	false	카테고리 다양화
tc_0014	그… 그냥 매트요	매트	매트			true	애매함(꼬리질문 대상)
tc_0015	응?					true	잡음/빈 입력
