id	raw_text	intent_text	expected_doc_ids	expected_category	needs_clarification	notes
tc_0001	건전지 어디에 있어요?	건전지 건전지 전자기기 전자제품 배터리	doc_0001|doc_0002	전자/디지털	false	Extracted Product + Expanded Keywords
tc_0002	멀티탭 코너는 몇 번이에요?	멀티탭 멀티탭 전자기기 전선 디지털 전기	doc_0003|doc_0004	전자/디지털	false	Extracted Product + Expanded Keywords
tc_0003	순간접착제는 어디로 가야 돼요?	순간접착제 순간접착제 접착제 문구 사무용품 접착	doc_0005|doc_0006	문구/사무	false	Extracted Product + Expanded Keywords
tc_0004	욕실 슬리퍼 찾는데 안 보여요.	욕실 슬리퍼 욕실 슬리퍼 욕실 슬리퍼 욕실용품 실내화	doc_0007|doc_0008	욕실/청소	false	Extracted Product + Expanded Keywords
tc_0005	다이소 꿀템이라고 하던데, '리들샷' 재고 있나요?	리들샷 리들샷 얼굴 샷 뷰티 스킨케어 피부관리	doc_0009|doc_0010	뷰티/위생	false	Extracted Product + Expanded Keywords
tc_0006	아이폰 충전 케이블은 어디 쪽에 있나요?	아이폰 충전 케이블 아이폰 충전 케이블 아이폰 충전 케이블 케이블 디지털 핸드폰 용품 충전기	doc_0011|doc_0012	전자/디지털	false	Extracted Product + Expanded Keywords
tc_0007	포장지랑 편지지는 어디 있어요?	포장지, 편지지 포장지 편지지 포장지 편지지 종이 문구 선물 포장 편지 쓰기	doc_0013|doc_0014	문구/사무	false	Extracted Product + Expanded Keywords
tc_0008	옷걸이 종류는 어디 모여 있어요?	옷걸이 옷걸이 옷장 걸이 수납용품 정리	doc_0015|doc_0016	수납/정리	false	Extracted Product + Expanded Keywords
tc_0009	강아지 배변 패드는 2층에 있나요?	배변 패드 배변 패드 애견 패드 애완용품 강아지 고양이	doc_0017|doc_0018	반려동물	false	Extracted Product + Expanded Keywords
tc_0010	줄자는 공구 쪽에 있나요, 문구 쪽에 있나요?	줄자 줄자 측정 도구 DIY 측정 도구	doc_0019|doc_0020	공구/DIY	false	Extracted Product + Expanded Keywords
tc_0011	싱크대 물 안 튀게 막아주는 거 있어요?	싱크대 물튐 방지 싱크대 물튐 방지 싱크대 물튐 방지 주방용품 생활용품 방수 물막이	doc_0021|doc_0022	주방/식기	false	Extracted Product + Expanded Keywords
tc_0012	의자 끌 때 소리 안 나게 끼우는 거 찾는데요.	의자 다리 커버 의자 다리 커버 의자 다리 커버 커버 가구 생활용품 소음방지 긁힘방지	doc_0023|doc_0024	공구/DIY	false	Extracted Product + Expanded Keywords
tc_0013	새로 이사했는데 문틈으로 바람 들어오는 거 막는 스펀지 같은 거요.	문풍지 문풍지 창문 바람막이 단열재 생활용품	doc_0025|doc_0026	공구/DIY	false	Extracted Product + Expanded Keywords
tc_0014	화장실 타일 사이에 낀 곰팡이 없애는 젤 있나요?	곰팡이 제거 젤 곰팡이 제거 젤 곰팡이 제거 젤 청소용품 욕실 주방 다용도 곰팡이 방지	doc_0027|doc_0028	욕실/청소	false	Extracted Product + Expanded Keywords
tc_0015	그... 옷에 핀 보풀 제거하는 기계 있어요?	보풀 제거기 보풀 제거기 옷 제거기 세탁용품 보풀제거	doc_0029|doc_0030	기타	false	Extracted Product + Expanded Keywords
tc_0016	신발장 냄새 제거하는 탈취제 같은 거 어디 봐요?	탈취제 탈취제 냄새 제거제 방향제 생활용품 탈취 냄새 제거	doc_0031|doc_0032	욕실/청소	false	Extracted Product + Expanded Keywords
tc_0017	벽에 못 안 박고 액자 걸 수 있는 끈끈이 있어요?	액자 끈끈이 액자 끈끈이 액자 끈끈이 인테리어 접착 고정	doc_0033|doc_0034	공구/DIY	false	Extracted Product + Expanded Keywords
tc_0018	여행 가는데 화장품 덜어갈 작은 공병들 모아둔 곳이요.	공병 공병 병 생활용품 다용도	doc_0035|doc_0036	기타	false	Extracted Product + Expanded Keywords
tc_0019	방충망에 구멍 났는데 그거 때우는 스티커 있나요?	방충망 스티커 방충망 스티커 방충망 스티커 생활용품 방충 보수	doc_0037|doc_0038	공구/DIY	false	Extracted Product + Expanded Keywords
tc_0020	키보드 사이에 먼지 빼는 젤리 같은 거 찾고 있어요?	먼지 제거 젤리 먼지 제거 젤리 먼지 제거 젤리 청소용품 먼지 제거	doc_0039|doc_0040	욕실/청소	false	Extracted Product + Expanded Keywords
tc_0021	매직블럭(매직스펀지) 큰 거는 없어요?	매직블럭 매직블럭 청소 청소용품 다용도 얼룩제거	doc_0041|doc_0042	욕실/청소	false	Extracted Product + Expanded Keywords
tc_0022	배수구 거름망 스타킹처럼 된 거요.	배수구 거름망 배수구 거름망 배수구 거름망 주방용품 배수구 청소 필터	doc_0043|doc_0044	주방/식기	false	Extracted Product + Expanded Keywords
tc_0023	에어프라이어에 까는 종이 호일 어디 있죠?	종이 호일 종이 호일 주방 호일 주방용품 쿠킹호일	doc_0045|doc_0046	주방/식기	false	Extracted Product + Expanded Keywords
tc_0024	고무장갑 M사이즈는 어디에 걸려 있나요?	고무장갑 고무장갑 주방 장갑 주방용품 청소용품 설거지	doc_0047|doc_0048	욕실/청소	false	Extracted Product + Expanded Keywords
tc_0025	밀폐용기 중에 유리로 된 것만 모아둔 곳 있어요?	밀폐용기 밀폐용기 주방 용기 주방용품 밀폐	doc_0049|doc_0050	주방/식기	false	Extracted Product + Expanded Keywords
tc_0026	기름 닦는 키친타월은 휴지 쪽에 있나요, 주방 쪽에 있나요?	키친타월 키친타월 주방 타월 주방용품 청소	doc_0051|doc_0052	주방/식기	false	Extracted Product + Expanded Keywords
tc_0027	텀블러 닦는 긴 솔 찾아요.	텀블러 솔 텀블러 솔 텀블러 솔 청소용품 주방용품 세척솔	doc_0053|doc_0054	주방/식기	false	Extracted Product + Expanded Keywords
tc_0028	음식물 쓰레기 봉투도 파나요?	음식물 쓰레기 봉투 음식물 쓰레기 봉투 음식물 쓰레기 봉투 봉투 주방 주방용품 쓰레기 처리	doc_0055|doc_0056	문구/사무	false	Extracted Product + Expanded Keywords
