doc_id	title	text	category
건전지	알카라인 건전지 AA/AAA	AA AAA 알카라인 배터리, 리모컨 장난감 시계용	전자/디지털
보조배터리	휴대용 보조배터리	USB-C 보조배터리, 스마트폰 충전	전자/디지털
멀티탭	전원 멀티탭	4구 6구 멀티탭, 콘센트, 전선	전자/디지털
충전케이블	충전 케이블	USB-C 라이트닝 케이블, 데이터/충전	전자/디지털
이어폰	유선 이어폰	3.5mm 이어폰, 마이크 포함	전자/디지털
순간접착제	순간접착제(강력)	접착제, 플라스틱 금속 목재 빠른 접착	문구/사무
테이프	투명 테이프	문구 테이프, 포장용	문구/사무
가위	사무용 가위	문구용 가위, 스테인리스	문구/사무
펜	볼펜	검정 파랑 볼펜	문구/사무
욕실슬리퍼	욕실 슬리퍼	욕실용 미끄럼방지 슬리퍼, 실내화	욕실/청소
욕실매트	욕실 매트	흡수/미끄럼방지 욕실 매트	욕실/청소
변기세정제	변기 세정제	변기 클리너, 청소 세정	욕실/청소
수세미	주방/청소 수세미	수세미, 스펀지, 설거지	욕실/청소
고무장갑	고무장갑	청소용 고무장갑, 설거지 장갑	욕실/청소
요가매트	요가 매트	요가 운동 매트, 홈트	스포츠/레저
필라테스매트	필라테스 매트	필라테스 운동 매트, 스트레칭	스포츠/레저
덤벨	덤벨	운동 덤벨, 근력 운동	스포츠/레저
도마	도마	주방 도마, 나무/플라스틱	주방
프라이팬	프라이팬	후라이팬, 코팅 팬	주방
청소포	청소포	바닥 청소포, 물티슈 형태	생활/청소
휴지	두루마리 휴지	화장지, 두루마리	생활/청소
