신용등급,매출액,영업이익,당기순이익,총자산,총부채,자본총계,자본금,영업활동현금흐름,이자발생부채,부채비율,ROA,ROE,매출총자산회전율,이자총자산비율,이자매출비율,현금흐름대비이자,이자대비현금흐름,로그총자산,로그총부채
AAA,95310.98209511153,21797.413408008055,14220.411580095155,347183.1692540833,270573.9050985038,97286.34400741078,63233.95666011085,25059.117791745888,103723.02052629516,4.278933651943795,0.04095939215788441,0.14617068536373323,0.27452650512951254,0.29875590095321203,1.088258857964439,0.24159416174378942,4.138967796889553,5.540558663286568,5.432285909710995
AAA,164860.17152936698,25551.464391892267,15535.465669552772,606168.5408648556,294577.94172082364,310476.0624462535,42534.766661912,27319.441905479955,124316.55886410951,6.925580292053304,0.025628954032136716,0.05003756343451475,0.27197084707522345,0.20508579789828735,0.7540727254548845,0.2197552956726138,4.550312886380289,5.782593393457991,5.469200223336247
AAA,255027.6531189605,39153.923225662016,26914.623768769845,547140.520886218,286231.51703125995,194317.6766072804,0.1,55773.81972706412,153595.34871865826,2862315.1703125993,0.04919142841984271,0.13850836546983214,0.4661099724543989,0.28072376812793143,0.6022693885945458,0.36311943735866253,2.7538475152458055,5.738098879547387,5.456717452341849
AAA,240933.5770745058,30479.354138253395,18559.642121769764,484213.6736218777,119567.36672687248,334390.6055943895,235674.56359536224,36425.353204246254,137486.49997549946,0.5073409913348214,0.038329446549795254,0.05550288139458773,0.4975769793371237,0.28393766526069364,0.5706406788331683,0.2649357447821607,3.7743690455258787,5.685037049241777,5.077612664733508
AAA,189975.09776726022,30630.733027382237,16951.9415261489,630544.4309092439,411950.1019298185,190907.967995373,57692.64437325937,58037.16000899745,229411.41822733358,7.1404267633251015,0.026884610655753843,0.08879640647874772,0.3012874088719117,0.36383069452619343,1.2075867886031413,0.2529817716819767,3.9527686300146097,5.799715694269689,5.614844614652267
AAA,250357.8012440514,7738.468230799885,6758.845571864313,747487.9479240287,449621.36135424394,226399.74936411052,0.1,43093.57249071285,188576.36748724477,4496213.613542439,0.009042079662468686,0.02985359122900046,0.33493222457881905,0.2522801444638286,0.7532274470785058,0.22851932373924813,4.3758727976216525,5.87360419473254,5.652846936230699
AAA,179323.03508211306,10114.451580462002,15171.677370693003,226366.64282540075,35261.5672246695,146764.0358729883,34921.92665929355,24729.785830277346,103272.85054352024,1.009725710974929,0.0670225841640241,0.10337462635480256,0.7921795934413668,0.45621938486394303,0.5759039852087658,0.23945834981582353,4.175882289073306,5.354812430006556,4.547301610909984
AAA,160183.0047246048,34437.332584046606,30736.687166594398,199836.700659826,82667.2697814843,114081.43541259447,92857.45311603672,28685.702370915584,16670.088244421306,0.8902599307584008,0.15380902039068503,0.26942759841187186,0.8015695024773148,0.0834185521947649,0.10406901951353337,1.7206856535304325,0.581108557856497,5.300675250808583,4.917333594596252
AAA,24074.267980495584,7120.200894071565,4921.22729586389,378796.1131343511,191039.55379762713,252478.0976033368,111038.70517376778,-14739.608117212596,82361.67739912347,1.7204771390179994,0.012991757637487776,0.019491699844774377,0.0635546858738673,0.21743010169143814,3.4211498129808553,-0.17895979808652335,-5.588158443736404,5.578405514014014,5.281123295088646
AAA,247092.8230476138,15517.612577848338,13195.328871125901,375717.8728987374,127815.2732784295,207204.73940762389,58051.315900989626,43131.208962702854,10602.348643959922,2.201763582696849,0.035120311869439,0.06368256299952371,0.6576552271555357,0.028218909476306554,0.04290836339636175,4.06769695225216,0.2458104720100923,5.574861854942737,5.106582752916402
AAA,167588.42802584887,17113.370806328207,7332.712221595157,405629.747610659,212115.11921342395,189729.99969098484,131663.82523951383,33485.77189442226,95817.62329649365,1.6110356723083097,0.018077353213831377,0.038648143327560315,0.41315615783363974,0.23621941896742632,0.5717436724313371,0.34947039252282414,2.86135742192736,5.608129797285388,5.326571625409262
AAA,236821.19589318516,23825.56959180497,17663.610792098887,526416.8302354915,267838.50354130205,207970.61188780036,0.1,32954.19887670411,107453.94388865663,2678385.0354130203,0.03355441881331398,0.08493320585904879,0.4498739065528047,0.20412330631713907,0.4537344872505509,0.306679224651132,3.260606749504867,5.72132976579123,5.427873009843742
AAA,73043.03236654101,27233.33942160809,18481.894163270837,256775.7295852058,37575.924766213255,244904.30086157832,0.1,52974.21688719923,35718.37336622552,375759.24766213255,0.0719767954437376,0.0754657802996973,0.2844623691052669,0.13910338575972425,0.48900452526375554,1.4830668036659638,0.6742468547562737,5.409553971868207,4.574909677640086
AAA,141494.60397700855,-6334.357666652564,-3589.5546858954476,519214.2739485551,342781.80475047324,149702.2086353085,60082.23033035082,27871.975834962657,248614.51646171854,5.705211056010272,-0.00691343606291361,-0.02397796745030001,0.27251678367961846,0.4788283545655215,1.7570600536972838,0.11210875423881415,8.919554120585403,5.715346623337537,5.5350177610160705
AAA,17143.371897450153,1056.0777396227386,1584.1166094341079,86037.39600925473,17138.149051649176,106507.16925527621,0.1,28165.588060615097,25516.651336202616,171381.49051649176,0.018411954369977796,0.01487333313344663,0.1992548902294312,0.2965762856590625,1.4884266344357773,1.1037688261166803,0.9059191436779719,4.93468725764377,4.233963915599874
AAA,177896.76712794913,22037.168766331553,12685.234603689412,467120.84283951117,251493.0747876243,205838.27876048465,140549.54299073218,50218.9218255865,145036.50608260563,1.7893553364610209,0.027156216208591835,0.06162718946192739,0.38083671464231617,0.3104903330816173,0.8152846643822969,0.3462478305231233,2.888027316854785,5.669429245853906,5.400526030652665
AAA,116523.57879450513,-2236.359614607256,-8601.07495445623,344995.5721199303,123126.84683324711,246491.1697254885,40143.45673506482,42652.29144008258,-1901.6378600437602,3.067171012348254,-0.02493097201684157,-0.03489404899995017,0.33775383863187153,-0.005512064541462279,-0.016319768751673763,-22.441040629960174,-0.04458361349944342,5.537813521113213,5.090352757726768
AAA,182403.26696848444,15198.364959261049,15162.47212861328,310976.6584553969,132307.6610584161,174968.65392654954,174968.65392654954,36913.91827409137,52263.66141917576,0.756179224616758,0.04875758908698937,0.0866582201345526,0.5865497040018082,0.1680629719245372,0.28652809945671565,0.7062882887163936,1.4157870005595237,5.492727792613814,5.121584992026254
AAA,94035.01967455784,7910.741442024647,5494.649158999342,496034.53747752064,404032.80794655124,123841.41194466727,104031.58868185403,53193.94554729317,153594.74400144405,3.8837512054357934,0.011077150367273265,0.04436843114687976,0.18957353282848644,0.309645261361271,1.633378123735329,0.34632434572401344,2.8873935751074327,5.6955119162355805,5.606416631773091
