매출액,영업이익,당기순이익,총자산,총부채,자본총계,자본금,영업활동현금흐름,이자발생부채,신용등급
194836.90229201314,20641.697009139138,23337.90447130256,588966.6008997746,494469.64516028087,105404.57455413367,60042.1724553052,21982.71599877708,88257.84838759775,AAA
189496.89520342034,1740.9236910617783,495.0387895220083,238827.63159437588,338102.08377955307,46160.15065477291,71182.07858915799,5485.063840807827,129040.96028914256,AAA
111479.99557626815,12116.495800287006,-23880.59778837743,525505.5043930218,-76762.63692536479,111467.9022103327,53773.52056878394,-7610.2990248879105,-3953.554484743072,AAA
195776.27334345257,21320.700664927124,9964.242386312368,155301.73283134855,159789.32317387173,133254.65752826614,45564.64618771278,9115.610234513551,93994.96880584116,AAA
129342.30777258237,22505.676395932074,-6595.271461202434,425481.15778463543,137802.3313143329,78235.37950327092,37645.33655988569,42269.88468113297,130316.91757189404,AAA
144274.68981020813,6987.38687339189,45348.910584578196,325560.5325189594,220173.4160000561,219922.38339326094,33979.44317939303,10072.27757352447,116346.43593419164,AAA
115492.41373601035,26783.977423207063,11803.35207950232,257199.26438620393,-184946.67943192448,189982.56991241078,62522.89525313135,-14882.014966042403,256555.39736074873,AAA
192026.5002355268,4464.5679026816815,8998.974144870419,395254.0267510668,79973.50266718281,149218.17827531972,46711.98069852955,-21391.56619928937,196515.95587428135,AAA
130895.80177215475,33550.71077903302,-21012.17168191638,205716.15176486532,-155255.48721408047,256936.28749211982,70944.1259195341,85714.88113906054,174994.23956142523,AAA
127452.06449212901,7759.285682915892,-8416.706841210871,350835.1298846776,144034.2595498152,127600.86490282611,25455.516847037474,12798.16332263016,74981.32627334695,AAA
178306.80033935755,26527.61942164103,-14924.872796824253,351310.4793955861,300019.08640281874,116910.77528451661,50446.22730056775,29013.685179626198,98641.55795035252,AAA
194278.9393964702,7824.119233741179,1156.0605749827628,71849.60778129776,201778.10164052623,134826.18733327996,39202.3461396178,34609.50286273744,138893.59028221932,AAA
145488.58608450316,439.6201495091864,12176.540891391174,172498.46449159682,320585.1791632503,80465.81910674872,46796.329527960355,22824.83217646915,20286.016431778553,AAA
100180.04979127072,27246.496693096073,7826.850567169195,399934.2989351357,412949.7276999597,172941.35835555143,65650.50231554595,49374.71842560582,241043.58565672714,AAA
186706.38395658476,14646.517723224953,11138.727975456073,344553.30623784737,-109668.82829880813,155598.3262855586,25682.072871881763,31788.163038814404,44313.72999073654,AAA
115471.58958797477,19504.705330560442,6138.083286817137,299177.7666402288,239827.0630727669,70226.07206866237,31363.392361335165,-3349.004990316629,68752.71309080927,AAA
132300.26446494355,-15381.744381282291,-509.9290522476149,359204.7015086567,10293.988441173598,121327.14771691413,34263.77936438253,39573.73876920997,22225.87261551876,AAA
137969.3779205104,-21473.741173071692,17959.0215639745,473208.6298959894,364905.70991828106,233529.7137300884,45158.7488001515,16281.666387785286,112586.6195436741,AAA
130445.67838344048,54076.60375919664,6456.665415553719,369156.45991395466,272145.8151283956,177014.88767587885,60866.603178212536,36742.44793604723,65737.7025283644,AAA
135857.0796168909,6808.171755793178,-256.48329644543264,309506.78112792404,108938.29152627883,138216.37164305212,61237.225131269326,41787.770402106864,122606.05596072217,AAA
161194.65716113162,16825.876942627794,13921.267656628685,104609.85035555073,33802.131692724215,174165.31113865913,59893.32138963567,-392.63561257970287,146817.8845844249,AAA
125423.4675955423,11090.514162830137,24293.797187261967,219410.62596184996,319375.1269351135,72577.10675165484,43838.790822657145,19731.608863445414,207187.07403852418,AAA
123895.09900837,-14165.364477375262,24900.069515562624,326909.47551920015,126438.89006506883,104286.39387666062,59603.8935317322,-3778.2217065320438,158735.95038437835,AAA
