lat,lon,name,no_line
37.580059,127.0477395,청량리역,1
37.5783167,127.0387987,제기동역,1
37.5761056,127.0245335,신설동역,1
37.5736037,127.0171515,동묘앞역,1
37.571762,127.0112532,동대문역,1
37.5711368,127.0004054,종로5가역,1
37.5704364,126.9908467,종로3가역,1
37.5704393,126.9817831,종각역,1
37.5665841,126.978236,시청역,1
37.5578848,126.969503,서울역,1
37.5639433,126.9753301,시청역,2
37.5660574,126.982031,을지로입구역,2
37.5662151,126.9902129,을지로3가역,2
37.5664369,126.9972767,을지로4가역,2
37.5680073,127.0105944,동대문역사문화공원역,2
37.5656221,127.0202747,신당역,2
37.563974,127.0298211,상왕십리역,2
37.5598976,127.0362047,왕십리역,2
37.5555778,127.0435848,한양대역,2
37.5471882,127.0473655,뚝섬역,2
37.5446953,127.0569957,성수역,2
37.5407939,127.0690568,건대입구역,2
37.5378419,127.0884874,구의역,2
37.5353734,127.0945598,강변역,2
37.5218958,127.0991262,잠실나루역,2
37.5127271,127.0951166,잠실역,2
37.5114774,127.089344,신천역,2
37.5111054,127.0743133,종합운동장역,2
37.5091759,127.0579099,삼성역,2
37.5064317,127.0538834,선릉역,2
37.4998063,127.0366235,역삼역,2
37.4986144,127.0280696,강남역,2
37.4948671,127.0173034,교대역,2
37.491042,127.0068266,서초역,2
37.4811928,126.9967368,방배역,2
37.4808275,126.981678,사당역,2
37.4794192,126.9575749,낙성대역,2
37.4810756,126.953368,서울대입구역,2
37.4821835,126.9416357,봉천역,2
37.4841329,126.928721,신림역,2
37.4875528,126.9130145,신대방역,2
37.4852595,126.90123,구로디지털단지역,2
37.5051807,126.8889041,대림역,2
37.508716,126.8910861,신도림역,2
37.5160389,126.896786,문래역,2
37.5255161,126.8957813,영등포구청역,2
37.5346563,126.9023953,당산역,2
37.5501151,126.9146385,합정역,2
37.5568904,126.9236745,홍대입구역,2
37.5546845,126.9375524,신촌역,2
37.5565895,126.9462461,이대역,2
37.5572198,126.9540333,아현역,2
37.5609771,126.9633433,충정로역,2
37.5659035,127.0494423,용답역,2
37.5704687,127.0471946,신답역,2
37.5761056,127.0245335,용두역,2
37.5145133,126.882391,신설동역,2
37.511286,126.8686227,도림천역,2
37.5182982,126.8536312,양천구청역,2
37.5735375,127.040034,신정네거리역,2
37.5324143,126.8463323,까치산역,2
37.6382313,126.918498,구파발역,3
37.6246139,126.9159199,연신내역,3
37.6116741,126.9315413,불광역,3
37.6011808,126.935001,녹번역,3
37.5887411,126.9438051,홍제역,3
37.5824216,126.9505914,무악재역,3
37.5739073,126.9565091,독립문역,3
37.5738491,126.9651516,경복궁역,3
37.5766131,126.9851511,안국역,3
37.5711219,126.9919626,종로3가역,3
37.5666832,126.9922314,을지로3가역,3
37.5615795,126.9955938,충무로역,3
37.5594809,127.0054604,동대입구역,3
37.5544552,127.0110376,약수역,3
37.5481124,127.015894,금호역,3
37.5408406,127.0181266,옥수역,3
37.5264114,127.0284389,압구정역,3
37.51686,127.0198073,신사역,3
37.5136512,127.0072863,잠원역,3
37.5055717,127.0071375,고속터미널역,3
37.493781,127.0130086,교대역,3
37.4841908,127.0157291,남부터미널역,3
37.4675894,127.0231988,양재역,3
37.487408,127.0482109,매봉역,3
37.4905609,127.0551271,도곡역,3
37.4942415,127.0638569,대치역,3
37.4955815,127.0717546,학여울역,3
37.4936653,127.0795999,대청역,3
37.4840029,127.0844491,일원역,3
37.4881073,127.1006967,수서역,3
37.4930574,127.118076,가락시장역,3
37.4983182,127.1256891,경찰병원역,3
37.5034295,127.1261623,오금역,3
37.6706197,127.0793227,당고개역,4
37.6603679,127.0719963,상계역,4
37.6561088,127.0634683,노원역,4
37.6532914,127.0477428,창동역,4
37.6486248,127.0350659,쌍문역,4
37.6374739,127.0249644,수유역,4
37.6257206,127.0239903,미아역,4
37.6133549,127.0304248,미아사거리역,4
37.6032061,127.0248295,길음역,4
37.5931105,127.0167884,성신여대입구역,4
37.5880767,127.0058062,한성대입구역,4
37.5834282,127.0013295,혜화역,4
37.571152,127.0097126,동대문역,4
37.5646949,127.0069763,동대문역사문화공원역,4
37.5615795,126.9955938,충무로역,4
37.5608497,126.9857347,명동역,4
37.5598035,126.978484,회현역,4
37.5503481,126.972209,서울역,4
37.5451764,126.9718428,숙대입구역,4
37.5345707,126.9729782,삼각지역,4
37.5291812,126.9684234,신용산역,4
37.522997,126.9757555,이촌역,4
37.502884,126.9799113,동작역,4
37.4886442,126.9823291,총신대입구역,4
37.4808275,126.981678,사당역,4
37.4643715,126.9892869,남태령역,4
37.5771916,126.8126532,방화역,5
37.572362,126.8057737,개화산역,5
37.5614233,126.8025687,김포공항역,5
37.5614547,126.8105902,송정역,5
37.5601985,126.825548,마곡역,5
37.5589887,126.8373351,발산역,5
37.5492431,126.8364155,우장산역,5
37.5410891,126.8408492,화곡역,5
37.5324143,126.8463323,까치산역,5
37.5247776,126.8542782,신정역,5
37.5259734,126.8662904,목동역,5
37.5247144,126.8738322,오목교역,5
37.5256583,126.8857681,양평역,5
37.5244093,126.8943075,영등포구청역,5
37.5221062,126.9059661,영등포시장역,5
37.5177216,126.9145919,신길역,5
37.5239459,126.9278442,여의도역,5
37.5280839,126.9326299,여의나루역,5
37.5395838,126.9459206,마포역,5
37.5444902,126.9511944,공덕역 ,5
37.5533623,126.9566135,애오개역,5
37.5594073,126.9629996,충정로역,5
37.5661195,126.9668778,서대문역,5
37.5715854,126.9772199,광화문역,5
37.5725947,126.9897587,종로3가역,5
37.5671083,126.9980407,을지로4가역,5
37.564835,127.0050117,동대문역사문화공원역,5
37.5598849,127.014936,청구역,5
37.5545799,127.0197774,신금호역,5
37.5576232,127.0299107,행당역,5
37.5613065,127.0374819,왕십리역,5
37.5662827,127.0431638,마장역,5
37.5664458,127.0531812,답십리역,5
37.5621592,127.0606458,장한평역,5
37.5567365,127.0805441,군자역 ,5
37.5544481,127.0861676,아차산역,5
37.5451736,127.1035258,광나루역,5
37.5385067,127.1251276,천호역 ,5
37.5357899,127.1341189,강동역,5
37.5378114,127.1399992,길동역,5
37.5458768,127.1431484,굽은다리역,5
37.551257,127.1440039,명일역,5
37.555613,127.1539213,고덕역,5
37.5535428,127.1569041,상일동역,5
37.5281346,127.136375,둔촌동역,5
37.5164993,127.1311332,올림픽공원역,5
37.508013,127.1255037,방이역,5
37.5034295,127.1261623,오금역,5
37.4986379,127.1340037,개롱역,5
37.4942555,127.1420024,거여역,5
37.4944351,127.1519703,마천역,5
37.5993102,126.9153528,응암역,6
37.6062424,126.9233076,역촌역,6
37.6105576,126.9293107,불광역,6
37.6183788,126.9328702,독바위역,6
37.61897,126.9208595,연신내역,6
37.6112121,126.9171827,구산역,6
37.5911691,126.9133077,새절역,6
37.5835518,126.9092813,증산역,6
37.5769528,126.9016341,디지털미디어시티역,6
37.5699425,126.8990336,월드컵경기장역,6
37.5634262,126.9033573,마포구청역,6
37.5560572,126.9100342,망원역,6
37.549133,126.9133441,합정역,6
37.5479816,126.9226555,상수역,6
37.5475679,126.9324099,광흥창역,6
37.5477578,126.9423558,대흥역,6
37.5394996,126.9610563,효창공원앞역,6
37.5344036,126.9730304,삼각지역,6
37.5344698,126.9856082,녹사평역,6
37.5345461,126.9946761,이태원역,6
37.5409028,127.0018677,한강진역,6
37.548149,127.0070342,버티고개역,6
37.5544036,127.0103967,약수역,6
37.5671552,127.0161291,신당역,6
37.571686,127.0158295,동묘앞역,6
37.5794607,127.015221,창신역,6
37.5854476,127.0197191,보문역,6
37.5861006,127.0294109,안암역,6
37.5896843,127.0359392,고려대역,6
37.6018433,127.0414334,월곡역,6
37.6070179,127.0497123,상월곡역,6
37.6107345,127.0571227,돌곶이역,6
37.6152745,127.0668606,석계역,6
37.6198984,127.0832063,화랑대역,6
37.616757,127.0926836,봉화산역,6
37.6889484,127.0466752,도봉산역,7
37.6763131,127.0553467,수락산역,7
37.6677166,127.0570141,마들역,7
37.653609,127.060791,노원역,7
37.6426533,127.0652297,중계역,7
37.6352529,127.0685664,하계역,7
37.6254242,127.0725361,공릉역,7
37.6191493,127.0751537,태릉입구역 ,7
37.6108106,127.0777145,먹골역,7
37.6015857,127.0786549,중화역,7
37.5960515,127.084396,상봉역,7
37.5892322,127.0873747,면목역,7
37.5807618,127.0887198,사가정역,7
37.57339,127.0865146,용마산역,7
37.5657613,127.0842209,중곡역,7
37.547149,127.0739671,어린이대공원역,7
37.5402235,127.0701033,건대입구역,7
37.5319437,127.0670183,뚝섬유원지역,7
37.5187724,127.0493819,청담역,7
37.518203,127.0471323,강남구청역,7
37.5141778,127.03138,학동역,7
37.5097151,127.0221516,논현역,7
37.508299,127.0118276,반포역,7
37.5050053,127.0048574,고속터미널역,7
37.4875321,126.9931792,내방역,7
37.48497,126.9806891,이수역,7
37.4847692,126.9710282,남성역,7
37.4958722,126.9540207,숭실대입구역,7
37.5035231,126.9472973,상도역,7
37.5051723,126.9418806,장승배기역,7
37.4997572,126.9275869,신대방삼거리역,7
37.4999159,126.9207594,보라매역,7
37.50032,126.9094539,신풍역,7
37.4929075,126.896874,대림역,7
37.4849003,126.8868122,남구로역,7
37.4806834,126.8829855,가산디지털단지역,7
37.486829,126.8388736,천왕역,7
37.4922518,126.8233145,온수역,7
37.5511715,127.1282291,암사역,8
